iata,city,state,latitude,longitude
2M2,Lawrenceburg,TN,35.2343025,-87.25793222
2M3,Sallisaw,OK,35.43816667,-94.80277778
2M4,Forest,MS,32.35347778,-89.48867944
2M8,Millington,TN,35.27897583,-89.93147611
2O1,Quincy,CA,39.94378056,-120.9468983
2O3,Angwin,CA,38.57851778,-122.4352572
2O6,Chowchilla,CA,37.11244417,-120.2468406
2O7,Independence,CA,36.81382111,-118.2050956
2O8,Hinton,OK,35.50592472,-98.34236111
2P2,Washington Island,WI,45.38620833,-86.92448056
2Q3,Davis/Woodland/Winters,CA,38.5790725,-121.8566322
2R0,Waynesboro,MS,31.64599472,-88.63475667
2R4,Milton,FL,30.63762083,-86.99365278
2R5,St Elmo,AL,30.50190833,-88.27511667
2R9,Kenedy,TX,28.8250075,-97.86558333
2S1,Vashon,WA,47.45815333,-122.4773506
2S6,Newberg,OR,45.29567333,-122.9553783
2S7,Chiloquin,OR,42.58319167,-121.8761261
2S8,Wilbur,WA,47.75320639,-118.7438936
2T1,Muleshoe,TX,34.18513639,-102.6410981
2V1,Pagosa Springs,CO,37.277505,-107.0558742
2V2,Longmont,CO,40.16367139,-105.1630369
2V5,Wray,CO,40.10032333,-102.24096
2V6,Yuma,CO,40.10415306,-102.7129869
2W5,Indian Head,MD,38.60053667,-77.07296917
2W6,Leonardtown,MD,38.31536111,-76.55011111
2Y3,Yakutat,AK,59.5624775,-139.7410994
2Y4,Rockwell City,IA,42.38748056,-94.61803333
31F,Seminole,TX,32.67535389,-102.652685
32M,Norfolk,MA,42.12787528,-71.37033556
32S,Stevensville,MT,46.52511111,-114.0528056
33J,Geneva,AL,31.05527778,-85.88033333
33M,Water Valley,MS,34.16677639,-89.68619722
33N,Dover,DE,39.21837556,-75.59642667
33S,Ritzville,WA,47.12487194,-118.3927539
34A,Laurens,SC,34.50705556,-81.94719444
35A,Union,SC,34.68680111,-81.64121167
35D,Allegan,MI,42.53098278,-85.82513556
35S,Wasco,OR,45.58944444,-120.6741667
36K,Lakin,KS,37.96946389,-101.2554472
36S,Happy Camp,CA,41.79067944,-123.3889444
36U,Heber,UT,40.48180556,-111.4288056
37T,Calico Rock,AR,36.16565278,-92.14523611
37W,Erwin,NC,35.37880028,-78.73362917
38A,Shaktoolik,AK,64.36263194,-161.2025369
38S,Deer Lodge,MT,46.38881583,-112.7669842
38U,Loa,UT,38.36247972,-111.5960164
39N,Princeton,NJ,40.39834833,-74.65760361
3A0,Grove Hill,AL,31.68932389,-87.7613875
3A1,Cullman,AL,34.26870833,-86.85833611
3A2,Tazewell,TN,36.41008417,-83.55546167
3A3,Wadesboro,NC,35.02397611,-80.08127333
3AU,Augusta,KS,37.67162778,-97.07787222
3B0,Southbridge,MA,42.10092806,-72.03840833
3B1,Greenville,ME,45.46302778,-69.55161111
3B2,Marshfield,MA,42.09824111,-70.67212083
3B9,Chester,CT,41.38390472,-72.50589444
3BS,Midland,MI,43.66291528,-84.261325
3CK,Lake In The Hills,IL,42.20680306,-88.32304028
3CM,Bay City,MI,43.54691667,-83.89550222
3CU,Cable,WI,46.19424889,-91.24640972
3D2,Ephraim,WI,45.13535778,-87.18586556
3D4,Frankfort,MI,44.62506389,-86.20061944
3F3,Mansfield,LA,32.07345972,-93.76551889
3F4,Vivian,LA,32.86133333,-94.01015361
3F7,Bristow,OK,35.80685278,-96.42185556
3FM,Fremont,MI,43.43890528,-85.99478
3FU,Faulkton,SD,45.03191861,-99.11566417
3G3,Wadsworth,OH,41.00158222,-81.75513111
3G4,Ashland,OH,40.90297222,-82.25563889
3G7,Williamson,NY,43.23472222,-77.12097222
3GM,Grand Haven,MI,43.03404639,-86.1981625
3I2,Point Pleasant,WV,38.91463889,-82.09858333
3I7,Phillipsburg,OH,39.91344194,-84.40030889
3J1,Ridgeland,SC,32.49268694,-80.99233028
3J7,Greensboro,GA,33.59766667,-83.139
3JC,Junction City,KS,39.04327556,-96.84328694
3K3,Syracuse,KS,37.99167972,-101.7462822
3K6,Troy/Marine/St. Louis,IL,38.73290861,-89.80656722
3K7,Leoti,KS,38.45696333,-101.3532161
3LC,Lincoln,IL,40.15847222,-89.33497222
3LF,Litchfield,IL,39.16635306,-89.67489694
3M7,Lafayette,TN,36.518375,-86.05828083
3M8,Reform,AL,33.38900611,-88.00557806
3M9,Warren,AR,33.56044333,-92.08538861
3MY,Peoria,IL,40.79525917,-89.6134025
3N6,Old Bridge,NJ,40.32988667,-74.34678694
3N8,Mahnomen,MN,47.25996056,-95.92809778
3ND0,Northwood,ND,47.72423333,-97.59042222
3O1,Gustine,CA,37.26271722,-120.9632586
3O3,Purcell,OK,34.97979444,-97.38586167
3O4,Sayre,OK,35.16755222,-99.65787361
3O5,Walters,OK,34.37258444,-98.40588583
3O7,Hollister,CA,36.89334528,-121.4102706
3O9,Afton,OK,36.5775775,-94.86190028
